frame,inliers,inlier_ratio,mean_reproj_error,viewpoint_diff,mahalanobis_sq,coverage_score,translation_change,orientation_change,alpha,max_translation_jump,max_orientation_jump,correction_type,full_correction_reason,roll_error,pitch_error,yaw_error
7,15.0,0.714,3.1,44.72,8.933,0.865,0.026,2.39,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating, Passed 3-Sigma Gating",16.154,-11.392,8.7
8,15.0,0.682,3.165,42.33,28.192,0.838,0.062,3.13,,,,Full Correction,"High Coverage Override, Passed 3-Sigma Gating",8.525,-5.229,3.88
9,16.0,0.696,3.213,42.1,1.042,0.813,0.01,0.65,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating, Passed 3-Sigma Gating",11.279,-3.696,4.103
10,14.0,0.667,3.455,41.21,5.231,0.807,0.016,1.56,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating, Passed 3-Sigma Gating",11.6,-8.495,6.177
139,11.0,0.846,3.029,46.41,10.149,0.761,0.007,1.7,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating, Passed 3-Sigma Gating",8.68,-5.98,3.947
146,13.0,0.765,3.011,47.64,9.662,0.77,0.008,1.55,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating, Passed 3-Sigma Gating",10.747,-4.344,4.093
147,11.0,0.733,3.09,50.68,44.556,0.743,0.015,3.35,,,,Full Correction,High Coverage Override,15.35,-9.54,8.006
148,13.0,0.765,2.854,47.02,62.237,0.765,0.01,4.03,,,,Full Correction,High Coverage Override,9.917,-4.85,3.948
149,12.0,0.706,3.129,46.89,27.748,0.785,0.011,2.64,,,,Full Correction,"High Coverage Override, Passed 3-Sigma Gating",11.158,-6.074,4.22
150,13.0,0.812,3.432,47.19,10.747,0.77,0.008,1.62,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating, Passed 3-Sigma Gating",10.34,-4.703,4.989
151,12.0,0.75,3.042,49.15,9.801,0.747,0.008,1.53,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating, Passed 3-Sigma Gating",10.367,-6.906,4.24
152,15.0,0.833,3.384,48.0,5.802,0.786,0.002,1.23,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating, Passed 3-Sigma Gating",14.013,-12.783,7.349
153,16.0,0.8,3.477,49.71,10.885,0.789,0.006,1.65,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating, Passed 3-Sigma Gating",15.279,-9.395,7.336
154,15.0,0.75,3.621,49.15,3.345,0.788,0.01,0.73,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating, Passed 3-Sigma Gating",14.377,-9.455,7.789
155,14.0,0.824,3.161,48.26,16.736,0.77,0.011,1.99,,,,Full Correction,"High Coverage Override, Passed 3-Sigma Gating",12.606,-5.223,4.373
156,12.0,0.667,3.814,47.76,13.452,0.68,0.015,1.66,,,,Full Correction,"High Coverage Override, Passed 3-Sigma Gating",13.192,-9.704,7.91
157,13.0,0.684,3.173,49.06,10.162,0.761,0.014,1.42,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating, Passed 3-Sigma Gating",14.839,-8.337,8.09
158,11.0,0.647,3.305,50.68,27.073,0.743,0.024,2.25,,,,Full Correction,"High Coverage Override, Passed 3-Sigma Gating",7.134,-3.534,2.682
159,13.0,0.765,2.755,51.59,21.123,0.742,0.016,2.13,,,,Full Correction,"High Coverage Override, Passed 3-Sigma Gating",14.32,-9.51,7.601
160,13.0,0.722,4.462,51.7,59.207,0.786,0.021,3.7,,,,Full Correction,High Coverage Override,16.78,-9.86,9.419
161,12.0,0.706,3.224,51.68,3.2,0.765,0.013,0.48,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating, Passed 3-Sigma Gating",7.645,-5.799,3.028
162,15.0,0.789,3.03,52.02,8.662,0.747,0.016,1.16,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating, Passed 3-Sigma Gating",13.128,-11.374,5.811
144,13.0,1.0,3.886,45.81,21.152,0.743,0.016,2.23,,,,Full Correction,"High Coverage Override, Passed 3-Sigma Gating",11.279,-3.696,4.103
143,12.0,0.8,3.16,47.19,11.617,0.743,0.019,1.41,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating, Passed 3-Sigma Gating",8.525,-5.229,3.88
140,11.0,0.786,3.144,45.35,37.256,0.765,0.004,3.3,,,,Full Correction,High Coverage Override,11.209,-8.738,5.03
141,9.0,0.75,2.974,46.33,41.444,0.75,0.01,3.4,,,,Full Correction,High Coverage Override,12.52,-16.566,6.403
142,11.0,0.786,3.103,45.96,13.961,0.75,0.012,1.85,,,,Full Correction,"High Coverage Override, Passed 3-Sigma Gating",16.154,-11.392,8.7
77,16.0,0.696,3.17,38.19,2.609,0.73,0.012,0.45,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating, Passed 3-Sigma Gating",7.134,-3.534,2.682
78,16.0,0.64,3.65,34.71,60.235,0.742,0.012,3.77,,,,Full Correction,High Coverage Override,14.32,-9.51,7.601
79,16.0,0.615,3.442,39.19,82.813,0.807,0.05,3.48,,,,Full Correction,High Coverage Override,16.78,-9.86,9.419
80,17.0,0.708,3.014,37.97,6.029,0.765,0.016,0.78,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating, Passed 3-Sigma Gating",7.645,-5.799,3.028
81,17.0,0.708,2.897,37.82,3.952,0.73,0.01,0.79,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating, Passed 3-Sigma Gating",13.128,-11.374,5.811
82,14.0,0.609,3.466,38.94,16.514,0.865,0.029,1.15,,,,Full Correction,"High Coverage Override, Passed 3-Sigma Gating",13.975,-10.654,8.068
83,16.0,0.667,3.444,37.99,8.403,0.862,0.012,1.25,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating, Passed 3-Sigma Gating",14.268,-10.338,6.439
84,17.0,0.654,3.37,34.68,92.682,0.73,0.039,4.19,,,,Full Correction,High Coverage Override,7.921,-12.149,6.876
85,17.0,0.63,3.562,38.96,36.144,0.729,0.025,2.61,,,,Full Correction,High Coverage Override,8.68,-5.98,3.947
86,18.0,0.667,3.047,36.96,5.861,0.894,0.002,1.19,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating, Passed 3-Sigma Gating",11.209,-8.738,5.03
87,17.0,0.708,4.037,36.25,23.294,0.787,0.034,1.37,,,,Full Correction,"High Coverage Override, Passed 3-Sigma Gating",12.52,-16.566,6.403
88,18.0,0.75,4.458,38.14,19.452,0.88,0.011,2.08,,,,Full Correction,"High Coverage Override, Passed 3-Sigma Gating",16.154,-11.392,8.7
89,17.0,0.708,3.761,38.24,37.922,0.88,0.022,2.78,,,,Full Correction,High Coverage Override,8.525,-5.229,3.88
90,15.0,0.714,3.312,35.59,34.884,0.742,0.027,2.48,,,,Full Correction,"High Coverage Override, Passed 3-Sigma Gating",11.279,-3.696,4.103
91,16.0,0.696,3.701,38.28,18.495,0.742,0.016,1.9,,,,Full Correction,"High Coverage Override, Passed 3-Sigma Gating",11.6,-8.495,6.177
92,15.0,0.652,3.775,35.89,19.119,0.763,0.018,1.9,,,,Full Correction,"High Coverage Override, Passed 3-Sigma Gating",10.747,-4.344,4.093
93,16.0,0.64,3.572,34.02,49.495,0.747,0.029,3.03,,,,Full Correction,High Coverage Override,15.35,-9.54,8.006
94,18.0,0.72,3.184,36.0,3.324,0.891,0.011,0.66,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating, Passed 3-Sigma Gating",9.917,-4.85,3.948
95,15.0,0.652,3.6,35.44,1.349,0.813,0.009,0.27,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating, Passed 3-Sigma Gating",11.158,-6.074,4.22
145,11.0,0.786,3.033,49.65,35.605,0.761,0.017,2.95,,,,Full Correction,High Coverage Override,11.6,-8.495,6.177
113,13.0,0.65,3.286,39.84,5.723,0.743,0.01,1.04,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating, Passed 3-Sigma Gating",11.209,-8.738,5.03
114,13.0,0.722,3.13,37.44,36.719,0.73,0.009,2.94,,,,Full Correction,High Coverage Override,12.52,-16.566,6.403
115,13.0,0.684,3.243,37.24,17.462,0.747,0.008,2.01,,,,Full Correction,"High Coverage Override, Passed 3-Sigma Gating",16.154,-11.392,8.7
116,15.0,0.75,3.735,39.98,11.268,0.747,0.012,1.5,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating, Passed 3-Sigma Gating",8.525,-5.229,3.88
117,11.0,0.611,2.933,38.54,4.425,0.743,0.011,0.84,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating, Passed 3-Sigma Gating",11.279,-3.696,4.103
118,10.0,0.556,2.941,38.7,1.573,0.765,0.006,0.52,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating, Passed 3-Sigma Gating",11.6,-8.495,6.177
119,13.0,0.65,3.588,40.6,9.348,0.743,0.006,1.46,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating, Passed 3-Sigma Gating",10.747,-4.344,4.093
120,11.0,0.786,2.815,39.56,3.956,0.743,0.009,0.82,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating, Passed 3-Sigma Gating",15.35,-9.54,8.006
121,9.0,0.692,2.282,41.07,18.322,0.724,0.01,2.04,,,,Full Correction,"High Coverage Override, Passed 3-Sigma Gating",9.917,-4.85,3.948
122,11.0,0.733,3.139,42.68,19.136,0.765,0.014,2.01,,,,Full Correction,"High Coverage Override, Passed 3-Sigma Gating",11.158,-6.074,4.22
123,9.0,0.6,1.98,41.98,20.465,0.703,0.015,2.06,,,,Full Correction,"High Coverage Override, Passed 3-Sigma Gating",10.34,-4.703,4.989
124,9.0,0.75,2.201,42.11,2.351,0.75,0.011,0.45,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating, Passed 3-Sigma Gating",10.367,-6.906,4.24
125,9.0,0.9,2.06,42.17,2.51,0.689,0.002,0.77,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating, Passed 3-Sigma Gating",14.013,-12.783,7.349
126,11.0,0.733,2.641,42.71,6.352,0.765,0.005,1.22,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating, Passed 3-Sigma Gating",15.279,-9.395,7.336
127,9.0,0.818,2.321,58.71,995.785,0.459,0.014,15.54,0.421,,,Partial Blend,Partial Blend,14.377,-9.455,7.789
