frame,inliers,inlier_ratio,mean_reproj_error,viewpoint_diff,mahalanobis_sq,coverage_score,translation_change,orientation_change,alpha,max_translation_jump,max_orientation_jump,correction_type,full_correction_reason
14,13.0,0.765,4.112,20.19,3.567,0.661,0.084,3.85,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating, Passed 3-Sigma Gating"
15,,,,,,,,,,0.102,5.82,,
15,12.0,0.667,2.678,20.44,29.558,0.809,0.105,0.92,0.666,,,Partial Blend,Partial Blend
16,,,,,,,,,,0.22,12.6,,
16,10.0,0.556,3.361,15.39,15.838,0.459,0.091,8.12,0.421,,,Partial Blend,Partial Blend
17,,,,,,,,,,0.526,30.13,,
17,9.0,0.643,3.706,18.92,1.326,0.689,0.1,3.39,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating, Passed 3-Sigma Gating"
18,,,,,,,,,,0.097,5.58,,
18,14.0,0.824,2.625,16.38,91.229,0.481,0.133,6.88,0.436,,,Partial Blend,Partial Blend
19,,,,,,,,,,0.255,14.6,,
19,11.0,0.733,2.377,17.01,3.573,0.485,0.071,3.44,0.44,,,Partial Blend,Partial Blend
20,,,,,,,,,,0.589,33.77,,
20,11.0,0.733,2.746,17.8,1.085,0.485,0.094,4.06,0.44,,,Partial Blend,Partial Blend
21,,,,,,,,,,1.257,72.01,,
21,12.0,0.667,2.892,20.39,0.117,0.747,0.057,3.44,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating, Passed 3-Sigma Gating"
22,,,,,,,,,,0.117,6.68,,
22,13.0,0.684,2.351,18.42,46.565,0.473,0.079,7.52,0.431,,,Partial Blend,Partial Blend
23,,,,,,,,,,0.338,19.35,,
23,12.0,0.667,3.217,17.54,4.041,0.473,0.064,6.53,0.431,,,Partial Blend,Partial Blend
24,,,,,,,,,,0.815,46.71,,
24,12.0,0.6,3.923,23.66,0.27,0.923,0.062,3.06,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating, Passed 3-Sigma Gating"
25,,,,,,,,,,0.107,6.13,,
25,13.0,0.722,2.481,17.24,106.962,0.459,0.043,11.95,0.421,,,Partial Blend,Partial Blend
26,,,,,,,,,,0.3,17.17,,
26,12.0,0.6,2.403,15.97,14.137,0.423,0.027,12.32,0.396,,,Partial Blend,Partial Blend
27,,,,,,,,,,0.745,42.67,,
27,12.0,0.667,2.507,22.21,0.11,0.68,0.016,2.55,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating, Passed 3-Sigma Gating"
28,,,,,,,,,,0.112,6.4,,
28,14.0,0.778,2.784,18.89,30.362,0.619,0.018,6.71,0.534,,,Partial Blend,Partial Blend
29,,,,,,,,,,0.287,16.45,,
29,12.0,0.667,3.173,20.87,3.313,0.776,0.055,4.83,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating, Passed 3-Sigma Gating"
30,,,,,,,,,,0.101,5.78,,
30,12.0,0.667,3.163,19.05,38.679,0.473,0.005,6.92,0.431,,,Partial Blend,Partial Blend
31,,,,,,,,,,0.265,15.19,,
31,12.0,0.667,3.475,21.16,3.879,0.497,0.02,5.64,0.448,,,Partial Blend,Partial Blend
32,,,,,,,,,,0.607,34.76,,
32,13.0,0.812,2.538,17.28,1.338,0.459,0.107,4.75,0.421,,,Partial Blend,Partial Blend
33,,,,,,,,,,1.323,75.81,,
33,13.0,0.65,3.161,22.27,0.245,0.865,0.106,3.93,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating, Passed 3-Sigma Gating"
34,,,,,,,,,,0.124,7.11,,
34,12.0,0.706,2.996,19.3,24.563,0.661,0.048,6.21,0.563,,,Partial Blend,Partial Blend
35,,,,,,,,,,0.325,18.64,,
35,13.0,0.722,3.053,21.0,0.355,0.776,0.016,1.94,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating, Passed 3-Sigma Gating"
36,,,,,,,,,,0.102,5.82,,
36,13.0,0.722,2.991,19.0,22.624,0.692,0.053,4.39,0.585,,,Partial Blend,Partial Blend
37,,,,,,,,,,0.227,13.01,,
37,11.0,0.647,2.968,18.7,7.217,0.5,0.048,6.12,0.45,,,Partial Blend,Partial Blend
38,,,,,,,,,,0.512,29.36,,
38,12.0,0.667,2.579,15.89,1.172,0.423,0.041,5.65,0.396,,,Partial Blend,Partial Blend
39,,,,,,,,,,1.142,65.45,,
39,12.0,0.75,3.185,21.09,0.291,0.68,0.062,5.77,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating, Passed 3-Sigma Gating"
40,,,,,,,,,,0.111,6.37,,
40,12.0,0.75,2.295,16.62,38.716,0.473,0.043,7.22,0.431,,,Partial Blend,Partial Blend
41,,,,,,,,,,0.319,18.29,,
41,11.0,0.733,3.066,17.71,0.53,0.68,0.008,2.52,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating, Passed 3-Sigma Gating"
42,,,,,,,,,,0.103,5.9,,
42,12.0,0.8,3.269,17.65,6.013,0.68,0.035,1.93,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating, Passed 3-Sigma Gating"
43,,,,,,,,,,0.092,5.25,,
43,12.0,0.75,2.695,15.39,56.341,0.473,0.076,6.21,0.431,,,Partial Blend,Partial Blend
44,,,,,,,,,,0.231,13.24,,
44,15.0,0.789,3.441,16.62,6.557,0.432,0.079,4.68,0.402,,,Partial Blend,Partial Blend
45,,,,,,,,,,0.542,31.03,,
45,12.0,0.75,2.51,19.85,1.091,0.761,0.029,6.01,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating, Passed 3-Sigma Gating"
46,,,,,,,,,,0.095,5.43,,
46,11.0,0.733,2.152,14.06,108.387,0.441,0.071,10.11,0.408,,,Partial Blend,Partial Blend
47,,,,,,,,,,0.254,14.57,,
47,15.0,0.789,3.4,15.23,5.884,0.432,0.078,5.13,0.402,,,Partial Blend,Partial Blend
48,,,,,,,,,,0.613,35.14,,
48,11.0,0.733,2.493,14.01,1.077,0.485,0.08,5.33,0.44,,,Partial Blend,Partial Blend
49,,,,,,,,,,1.306,74.85,,
49,11.0,0.688,3.177,19.37,0.109,0.696,0.067,2.76,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating, Passed 3-Sigma Gating"
50,,,,,,,,,,0.124,7.1,,
50,9.0,0.9,2.995,14.07,29.307,0.703,0.025,7.25,0.592,,,Partial Blend,Partial Blend
51,,,,,,,,,,0.314,17.98,,
51,13.0,0.765,2.931,14.95,2.447,0.594,0.03,5.12,0.516,,,Partial Blend,Partial Blend
52,,,,,,,,,,0.698,40.0,,
52,12.0,0.75,2.95,15.47,0.445,0.747,0.025,4.93,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating, Passed 3-Sigma Gating"
53,,,,,,,,,,0.098,5.64,,
53,11.0,0.733,2.158,15.74,1.355,0.743,0.012,1.07,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating, Passed 3-Sigma Gating"
54,,,,,,,,,,0.092,5.27,,
54,11.0,0.688,2.54,15.91,1.778,0.648,0.019,0.84,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating, Passed 3-Sigma Gating"
55,,,,,,,,,,0.085,4.85,,
55,11.0,0.647,2.111,13.34,46.948,0.441,0.044,5.88,0.408,,,Partial Blend,Partial Blend
56,,,,,,,,,,0.212,12.16,,
56,11.0,0.688,2.484,13.71,0.404,0.441,0.011,1.34,0.408,,,Partial Blend,Partial Blend
57,,,,,,,,,,0.486,27.82,,
57,13.0,0.722,2.887,15.35,0.47,0.73,0.032,3.2,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating, Passed 3-Sigma Gating"
58,,,,,,,,,,0.089,5.05,,
58,13.0,0.812,2.876,15.87,1.117,0.64,0.013,0.7,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating, Passed 3-Sigma Gating"
59,,,,,,,,,,0.084,4.77,,
59,12.0,0.706,2.677,14.13,22.239,0.485,0.043,3.53,0.44,,,Partial Blend,Partial Blend
60,,,,,,,,,,0.208,11.84,,
60,11.0,0.846,2.799,13.82,3.194,0.485,0.042,3.13,0.44,,,Partial Blend,Partial Blend
61,,,,,,,,,,0.465,26.54,,
61,9.0,0.692,1.868,16.02,0.447,0.778,0.048,2.03,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating, Passed 3-Sigma Gating"
62,,,,,,,,,,0.069,3.79,,
62,11.0,0.846,2.31,12.4,349.971,0.5,0.068,6.31,0.45,,,Partial Blend,Partial Blend
63,,,,,,,,,,0.166,9.13,,
63,13.0,0.812,3.515,12.77,45.031,0.661,0.018,3.17,0.563,,,Partial Blend,Partial Blend
64,,,,,,,,,,0.34,18.84,,
64,10.0,0.714,3.163,14.5,0.846,0.696,0.026,1.17,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating, Passed 3-Sigma Gating"
65,,,,,,,,,,,,,
65,9.0,0.692,2.577,14.68,630.897,0.477,0.088,5.32,0.434,,,Partial Blend,Partial Blend
66,,,,,,,,,,,,,
66,11.0,0.733,2.338,10.2,4.945,0.485,0.049,7.06,0.44,,,Partial Blend,Partial Blend
70,,,,,,,,,,,,,
70,9.0,0.692,2.034,15.92,9.203,0.477,0.107,5.14,0.434,,,Partial Blend,Partial Blend
71,,,,,,,,,,,,,
71,7.0,0.875,1.842,9.27,0.561,0.459,0.086,9.79,0.421,,,Partial Blend,Partial Blend
72,,,,,,,,,,,,,
72,7.0,0.778,1.421,13.13,0.074,0.459,0.078,1.84,0.421,,,Partial Blend,Partial Blend
72,,,,,,,,,,,,Forced Correction,Forced Correction
74,,,,,,,,,,,,,
74,10.0,0.833,1.736,10.31,,0.496,0.072,4.98,0.447,,,Partial Blend,Partial Blend
75,,,,,,,,,,,,,
75,8.0,0.727,2.197,9.98,,0.493,0.095,5.35,0.445,,,Partial Blend,Partial Blend
76,,,,,,,,,,,,,
76,7.0,0.778,1.019,16.15,,0.459,0.036,3.31,0.421,,,Partial Blend,Partial Blend
77,,,,,,,,,,,,,
77,12.0,0.857,2.444,13.64,,0.5,0.058,3.87,0.45,,,Partial Blend,Partial Blend
78,,,,,,,,,,,,,
78,10.0,0.909,2.471,14.43,,0.477,0.069,2.33,0.434,,,Partial Blend,Partial Blend
78,,,,,,,,,,,,Forced Correction,Forced Correction
79,,,,,,,,,,,,,
79,9.0,0.9,2.322,17.05,,0.5,0.215,17.21,0.45,,,Partial Blend,Partial Blend
80,,,,,,,,,,,,,
80,8.0,0.889,2.563,12.84,,0.493,0.051,3.94,0.445,,,Partial Blend,Partial Blend
81,,,,,,,,,,,,,
81,9.0,0.818,2.216,16.59,,0.477,0.055,1.8,0.434,,,Partial Blend,Partial Blend
82,,,,,,,,,,,,,
82,8.0,0.8,2.244,17.08,,0.432,0.058,0.33,0.402,,,Partial Blend,Partial Blend
83,,,,,,,,,,,,,
83,7.0,0.875,2.375,24.36,,0.459,0.071,16.2,0.421,,,Partial Blend,Partial Blend
83,,,,,,,,,,,,Forced Correction,Forced Correction
84,,,,,,,,,,,,,
84,9.0,0.9,1.881,13.89,,0.477,0.147,26.71,0.434,,,Partial Blend,Partial Blend
85,,,,,,,,,,,,,
85,8.0,0.8,1.746,20.33,,0.432,0.067,11.64,0.402,,,Partial Blend,Partial Blend
86,,,,,,,,,,,,,
86,9.0,0.9,2.187,21.15,,0.477,0.1,13.04,0.434,,,Partial Blend,Partial Blend
87,,,,,,,,,,,,,
87,7.0,0.778,1.961,16.64,,0.325,0.129,15.99,0.328,,,Partial Blend,Partial Blend
89,,,,,,,,,,,,,
89,7.0,0.636,2.71,26.74,,0.459,0.141,9.72,0.421,,,Partial Blend,Partial Blend
89,,,,,,,,,,,,Forced Correction,Forced Correction
90,,,,,,,,,,,,,
90,7.0,0.636,1.321,33.63,,0.761,1.151,48.02,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating"
91,,,,,,,,,,,,,
91,11.0,0.647,2.065,16.46,,0.5,0.099,26.04,0.45,,,Partial Blend,Partial Blend
94,,,,,,,,,,,,,
94,7.0,0.636,2.574,24.43,,0.626,0.097,3.74,0.538,,,Partial Blend,Partial Blend
96,,,,,,,,,,,,,
96,7.0,0.636,2.209,27.53,,0.5,0.199,25.49,0.45,,,Partial Blend,Partial Blend
97,,,,,,,,,,,,,
97,9.0,0.818,2.679,20.84,,0.703,0.113,12.69,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating"
98,,,,,,,,,,,,,
98,7.0,0.7,1.244,11.31,,0.361,0.038,16.05,0.353,,,Partial Blend,Partial Blend
99,,,,,,,,,,,,,
99,7.0,0.875,2.993,43.97,,0.459,0.108,29.66,0.421,,,Partial Blend,Partial Blend
103,,,,,,,,,,,,,
103,7.0,0.778,1.59,15.93,,0.626,0.109,15.26,0.538,,,Partial Blend,Partial Blend
104,,,,,,,,,,,,,
104,7.0,0.7,2.365,19.83,,0.325,0.099,19.61,0.328,,,Partial Blend,Partial Blend
105,,,,,,,,,,,,,
105,8.0,0.889,2.41,20.95,,0.432,0.076,14.72,0.402,,,Partial Blend,Partial Blend
105,,,,,,,,,,,,Forced Correction,Forced Correction
106,,,,,,,,,,,,,
106,7.0,0.778,2.516,20.2,,0.325,0.02,1.14,0.328,,,Partial Blend,Partial Blend
107,,,,,,,,,,,,,
107,7.0,0.778,2.7,19.94,,0.325,0.039,1.27,0.328,,,Partial Blend,Partial Blend
108,,,,,,,,,,,,,
108,9.0,0.9,2.408,10.03,,0.493,0.116,12.34,0.445,,,Partial Blend,Partial Blend
109,,,,,,,,,,,,,
109,9.0,0.75,1.518,15.59,,0.477,0.044,0.97,0.434,,,Partial Blend,Partial Blend
112,,,,,,,,,,,,,
112,7.0,0.583,2.082,17.87,,0.792,0.158,24.39,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating"
113,,,,,,,,,,,,,
113,9.0,1.0,2.034,15.26,,0.477,0.128,19.55,0.434,,,Partial Blend,Partial Blend
115,,,,,,,,,,,,,
115,7.0,0.636,2.69,13.23,,0.459,0.068,4.1,0.421,,,Partial Blend,Partial Blend
117,,,,,,,,,,,,,
117,7.0,0.636,2.328,18.01,,0.325,0.133,17.31,0.328,,,Partial Blend,Partial Blend
118,,,,,,,,,,,,,
118,8.0,0.8,2.469,21.32,,0.432,0.108,16.46,0.402,,,Partial Blend,Partial Blend
119,,,,,,,,,,,,,
119,8.0,0.889,2.185,22.66,,0.477,0.085,12.59,0.434,,,Partial Blend,Partial Blend
119,,,,,,,,,,,,Forced Correction,Forced Correction
121,,,,,,,,,,,,,
121,9.0,0.818,2.171,23.81,,0.477,0.025,2.48,0.434,,,Partial Blend,Partial Blend
122,,,,,,,,,,,,,
122,7.0,0.636,1.01,23.89,,0.325,0.044,2.18,0.328,,,Partial Blend,Partial Blend
123,,,,,,,,,,,,,
123,7.0,0.778,1.362,17.04,,0.459,0.083,5.31,0.421,,,Partial Blend,Partial Blend
124,,,,,,,,,,,,,
124,7.0,0.778,1.955,20.85,,0.325,0.073,1.96,0.328,,,Partial Blend,Partial Blend
127,,,,,,,,,,,,,
127,7.0,0.778,1.492,17.76,,0.325,0.097,2.04,0.328,,,Partial Blend,Partial Blend
127,,,,,,,,,,,,Forced Correction,Forced Correction
129,,,,,,,,,,,,,
129,7.0,0.875,1.577,22.16,,0.325,0.056,6.83,0.328,,,Partial Blend,Partial Blend
130,,,,,,,,,,,,,
130,7.0,1.0,1.422,24.45,,0.325,0.052,7.78,0.328,,,Partial Blend,Partial Blend
144,,,,,,,,,,,,,
144,8.0,0.727,3.045,25.12,,0.459,0.043,7.12,0.421,,,Partial Blend,Partial Blend
152,,,,,,,,,,,,,
152,7.0,0.7,2.144,23.19,,0.5,0.145,3.6,0.45,,,Partial Blend,Partial Blend
155,,,,,,,,,,,,,
155,9.0,0.643,3.791,26.56,,0.493,0.065,5.79,0.445,,,Partial Blend,Partial Blend
155,,,,,,,,,,,,Forced Correction,Forced Correction
158,,,,,,,,,,,,,
158,7.0,0.778,2.98,46.75,,0.459,0.047,26.93,0.421,,,Partial Blend,Partial Blend
159,,,,,,,,,,,,,
159,7.0,0.7,2.584,51.05,,0.459,0.08,18.05,0.421,,,Partial Blend,Partial Blend
160,,,,,,,,,,,,,
160,7.0,0.583,2.685,33.54,,0.325,0.105,13.51,0.328,,,Partial Blend,Partial Blend
165,,,,,,,,,,,,,
167,,,,,,,,,,,,,
167,7.0,0.636,2.938,51.95,,0.485,0.117,31.24,0.44,,,Partial Blend,Partial Blend
167,,,,,,,,,,,,Forced Correction,Forced Correction
172,,,,,,,,,,,,,
172,7.0,0.7,2.372,25.8,,0.5,0.078,35.07,0.45,,,Partial Blend,Partial Blend
173,,,,,,,,,,,,,
173,8.0,0.667,3.368,25.41,,0.493,0.044,19.05,0.445,,,Partial Blend,Partial Blend
177,,,,,,,,,,,,,
177,7.0,0.636,3.517,39.95,,0.459,0.084,41.09,0.421,,,Partial Blend,Partial Blend
178,,,,,,,,,,,,,
178,7.0,0.636,2.29,35.9,,0.626,0.086,25.54,0.538,,,Partial Blend,Partial Blend
179,,,,,,,,,,,,,
179,8.0,0.667,3.26,33.49,,0.689,0.077,8.67,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating"
180,,,,,,,,,,,,,
180,9.0,0.9,3.244,31.38,,0.5,0.032,7.53,0.45,,,Partial Blend,Partial Blend
183,,,,,,,,,,,,,
183,7.0,0.875,3.676,48.93,,0.459,0.07,54.83,0.421,,,Partial Blend,Partial Blend
184,,,,,,,,,,,,,
184,10.0,0.769,3.076,34.1,,0.5,0.061,17.94,0.45,,,Partial Blend,Partial Blend
191,,,,,,,,,,,,,
191,8.0,0.667,2.762,35.52,,0.5,0.073,9.22,0.45,,,Partial Blend,Partial Blend
192,,,,,,,,,,,,,
192,8.0,0.667,3.034,49.16,,0.73,0.108,18.03,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating"
193,,,,,,,,,,,,,
193,9.0,0.643,3.504,42.37,,0.459,0.099,12.21,0.421,,,Partial Blend,Partial Blend
195,,,,,,,,,,,,,
195,9.0,0.692,3.355,36.14,,0.493,0.076,12.08,0.445,,,Partial Blend,Partial Blend
196,,,,,,,,,,,,,
196,7.0,0.7,2.043,60.85,,0.459,0.049,33.05,0.421,,,Partial Blend,Partial Blend
197,,,,,,,,,,,,,
197,9.0,0.6,3.426,51.05,,0.778,0.081,11.08,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating"
199,,,,,,,,,,,,,
199,7.0,0.583,3.335,39.95,,0.5,0.089,23.21,0.45,,,Partial Blend,Partial Blend
200,,,,,,,,,,,,,
200,8.0,0.727,3.983,44.74,,0.778,0.083,4.89,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating"
201,,,,,,,,,,,,,
201,11.0,0.733,2.956,45.15,,0.5,0.033,8.91,0.45,,,Partial Blend,Partial Blend
203,,,,,,,,,,,,,
203,10.0,0.714,4.572,41.1,,0.496,0.045,6.72,0.447,,,Partial Blend,Partial Blend
204,,,,,,,,,,,,,
204,8.0,0.667,3.885,45.77,,0.703,0.069,4.13,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating"
205,,,,,,,,,,,,,
205,8.0,0.8,2.989,56.89,,0.73,0.156,10.99,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating"
206,,,,,,,,,,,,,
206,7.0,0.7,2.606,61.58,,0.73,0.062,3.25,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating"
207,,,,,,,,,,,,,
207,9.0,0.75,2.987,46.29,,0.5,0.161,20.76,0.45,,,Partial Blend,Partial Blend
208,,,,,,,,,,,,,
208,8.0,0.667,3.833,58.44,,0.689,0.036,2.0,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating"
209,,,,,,,,,,,,,
209,7.0,0.636,2.814,68.42,,0.459,0.118,11.6,0.421,,,Partial Blend,Partial Blend
210,,,,,,,,,,,,,
210,7.0,0.636,2.786,58.15,,0.459,0.083,11.1,0.421,,,Partial Blend,Partial Blend
211,,,,,,,,,,,,,
211,8.0,0.667,3.217,44.58,,0.432,0.183,37.82,0.402,,,Partial Blend,Partial Blend
212,,,,,,,,,,,,,
212,7.0,0.636,2.984,46.51,,0.5,0.115,9.71,0.45,,,Partial Blend,Partial Blend
213,,,,,,,,,,,,,
213,8.0,0.667,3.742,48.65,,0.432,0.075,7.51,0.402,,,Partial Blend,Partial Blend
213,,,,,,,,,,,,Forced Correction,Forced Correction
214,,,,,,,,,,,,,
214,7.0,0.538,3.708,48.96,,0.459,0.064,35.24,0.421,,,Partial Blend,Partial Blend
215,,,,,,,,,,,,,
215,8.0,0.727,3.179,41.22,,0.689,0.047,13.07,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating"
216,,,,,,,,,,,,,
216,7.0,0.636,2.943,64.79,,0.5,0.212,23.18,0.45,,,Partial Blend,Partial Blend
217,,,,,,,,,,,,,
217,8.0,0.615,3.401,40.52,,0.689,0.114,14.05,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating"
218,,,,,,,,,,,,,
218,7.0,0.636,2.482,45.11,,0.459,0.031,27.32,0.421,,,Partial Blend,Partial Blend
221,,,,,,,,,,,,,
221,7.0,0.7,2.64,50.89,,0.459,0.09,13.21,0.421,,,Partial Blend,Partial Blend
223,,,,,,,,,,,,,
223,7.0,0.636,3.258,41.57,,0.73,0.085,8.95,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating"
224,,,,,,,,,,,,,
224,7.0,0.583,3.315,56.39,,0.73,0.135,14.61,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating"
225,,,,,,,,,,,,,
225,7.0,0.636,3.292,44.72,,0.724,0.103,14.72,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating"
226,,,,,,,,,,,,,
226,7.0,0.583,2.996,42.72,,0.73,0.043,3.19,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating"
227,,,,,,,,,,,,,
227,9.0,0.6,3.298,46.75,,0.875,0.026,3.29,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating"
228,,,,,,,,,,,,,
228,8.0,0.667,2.049,69.33,,0.432,0.454,22.25,0.402,,,Partial Blend,Partial Blend
231,,,,,,,,,,,,,
231,9.0,0.6,4.294,47.19,,0.649,0.196,12.11,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating"
232,,,,,,,,,,,,,
232,10.0,0.769,3.81,46.84,,0.703,0.035,4.08,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating"
233,,,,,,,,,,,,,
233,10.0,0.625,3.257,51.04,,0.496,0.048,6.84,0.447,,,Partial Blend,Partial Blend
234,,,,,,,,,,,,,
234,10.0,0.667,2.978,49.27,,0.703,0.052,1.96,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating"
235,,,,,,,,,,,,,
235,10.0,0.625,2.101,52.57,,0.496,0.046,7.08,0.447,,,Partial Blend,Partial Blend
236,,,,,,,,,,,,,
236,9.0,0.562,3.521,51.71,,0.493,0.043,1.11,0.445,,,Partial Blend,Partial Blend
237,,,,,,,,,,,,,
237,10.0,0.714,3.155,52.28,,0.459,0.054,4.19,0.421,,,Partial Blend,Partial Blend
238,,,,,,,,,,,,,
238,7.0,0.538,3.011,52.8,,0.73,0.039,2.02,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating"
239,,,,,,,,,,,,,
239,11.0,0.647,3.467,55.91,,0.785,0.073,2.75,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating"
240,,,,,,,,,,,,,
240,11.0,0.733,2.9,54.04,,0.918,0.085,3.4,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating"
241,,,,,,,,,,,,,
241,9.0,0.75,2.589,52.93,,0.876,0.03,2.03,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating"
242,,,,,,,,,,,,,
242,10.0,0.588,2.945,56.04,,0.923,0.05,2.69,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating"
243,,,,,,,,,,,,,
243,10.0,0.588,4.045,52.09,,0.923,0.024,5.25,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating"
244,,,,,,,,,,,,,
244,11.0,0.733,3.61,53.53,,0.923,0.064,3.09,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating"
245,,,,,,,,,,,,,
245,15.0,0.882,4.069,53.03,,0.869,0.026,2.16,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating"
246,,,,,,,,,,,,,
246,8.0,0.8,2.556,54.29,,0.73,0.029,1.65,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating"
247,,,,,,,,,,,,,
247,9.0,0.643,3.543,53.42,,0.921,0.009,1.65,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating"
248,,,,,,,,,,,,,
248,13.0,0.812,4.474,54.69,,0.934,0.017,1.01,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating"
249,,,,,,,,,,,,,
249,12.0,0.706,3.172,53.26,,0.968,0.016,2.24,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating"
250,,,,,,,,,,,,,
250,11.0,0.688,3.312,54.75,,0.875,0.029,1.4,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating"
251,,,,,,,,,,,,,
251,10.0,0.714,3.751,54.76,,0.946,0.013,0.65,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating"
252,,,,,,,,,,,,,
